2364, M, 4785, 2337
893, q, 38, 3251
4676, g, 435, 1139
2251, w, 4766, 2863
3531, o, 4860, 1675
3395, Z, 1065, 4881
485, v, 669, 3210
70, z, 146, 1938
1289, Z, 1327, 68
4633, j, 3611, 1031
3551, s, 3027, 1793
2394, h, 2860, 1517
4315, l, 3028, 4338
2927, c, 2088, 1409
948, t, 4544, 532
1524, u, 3166, 346
3195, Y, 1699, 3900
1744, a, 1967, 4470
3351, G, 4420, 4148
1317, o, 4083, 3727
1430, R, 1501, 3627
2258, L, 968, 3593
263, h, 2459, 119
3234, q, 796, 280
3825, h, 96, 1391
1357, C, 272, 4918
1258, T, 4642, 537
702, I, 763, 120
299, l, 2135, 4811
1936, H, 1809, 4157
3627, s, 4824, 2408
264, z, 4498, 4492
4101, Q, 1393, 2669
297, M, 4288, 663
931, Z, 2044, 607
1423, q, 2576, 2273
4969, L, 2004, 703
3807, x, 1507, 2918
2036, z, 133, 2771
677, z, 2957, 3765
4993, j, 68, 3382
1692, G, 4125, 1830
3330, w, 1626, 3494
2577, a, 1583, 4412
424, c, 2461, 1848
1346, C, 2867, 4327
3928, X, 895, 2245
2017, R, 38, 4932
4223, f, 2693, 4321
2282, b, 90, 3810
